,0
L_I-g,191023
V_I-k,119641
Q_I-r,116458
E_I-q,111814
A_I-n,107455
K_I-u,91867
S_I-r,87237
E_I-u,81667
G_I-s,81199
D_I-r,74770
P_I-l,72821
T_I-m,72274
I_I-h,68789
K_I-t,64696
G_I-q,60935
R_I-u,60234
S_I-b,57589
D_I-j,55830
N_I-o,54617
F_I-b,54585
M_I-j,53969
T_I-o,51603
A_I-g,50123
I_I-c,48158
H_I-m,44927
N_I-i,44769
P_I-f,44658
Y_I-h,44017
F_I-a,43669
S_I-f,42865
P_I-m,42419
R_I-s,38919
C_I-g,37551
W_I-k,33518
L_I-f,31963
R_I-n,31196
Y_I-c,28911
G_I-p,26401
L_I-b,26284
H_I-h,26013
C_I-d,22796
V_I-d,21747
R_I-q,21077
A_I-r,20985
V_I-g,20602
S_I-j,20456
T_I-h,16031
S_I-h,12175
Q_I-o,11874
L_I-d,9454
A_I-s,8188
L_I-c,8037
M_B-j,6985
P_I-n,6845
G_I-k,5149
X_I-w,4037
T_I-r,2896
I_I-i,2032
S_I-g,1788
R_I-r,1475
V_I-j,1157
R_I-g,317
L_I-h,4
Q_O,1
